"","Pokedex Number","Name","Generation","Status","1st Type","2nd Type","1st Ability","2nd Ability","Hidden Ability","Total Points","Cluster"
"21",16,"Pidgey",1,"Normal","Normal","Flying","Keen Eye","Tangled Feet","Big Pecks",251,"small weak"
"22",17,"Pidgeotto",1,"Normal","Normal","Flying","Keen Eye","Tangled Feet","Big Pecks",349,"big weak"
"23",18,"Pidgeot",1,"Normal","Normal","Flying","Keen Eye","Tangled Feet","Big Pecks",479,"fast attackers"
"24",18,"Mega Pidgeot",1,"Normal","Normal","Flying","No Guard","","",579,"fast attackers"
"25",19,"Rattata",1,"Normal","Normal","","Run Away","Guts","Hustle",253,"small weak"
"26",19,"Alolan Rattata",1,"Normal","Dark","Normal","Gluttony","Hustle","Thick Fat",253,"small weak"
"27",20,"Raticate",1,"Normal","Normal","","Run Away","Guts","Hustle",413,"fast attackers"
"28",20,"Alolan Raticate",1,"Normal","Dark","Normal","Gluttony","Hustle","Thick Fat",413,"big weak"
"29",21,"Spearow",1,"Normal","Normal","Flying","Keen Eye","","Sniper",262,"small weak"
"30",22,"Fearow",1,"Normal","Normal","Flying","Keen Eye","","Sniper",442,"fast attackers"
"31",23,"Ekans",1,"Normal","Poison","","Intimidate","Shed Skin","Unnerve",288,"small weak"
"32",24,"Arbok",1,"Normal","Poison","","Intimidate","Shed Skin","Unnerve",448,"fast attackers"
"33",25,"Pikachu",1,"Normal","Electric","","Static","","Lightning Rod",320,"small weak"
"34",25,"Partner Pikachu",1,"Normal","Electric","","","","Lightning Rod",430,"fast attackers"
"35",26,"Raichu",1,"Normal","Electric","","Static","","Lightning Rod",485,"fast attackers"
"36",26,"Alolan Raichu",1,"Normal","Electric","Psychic","Surge Surfer","","",485,"fast attackers"
"37",27,"Sandshrew",1,"Normal","Ground","","Sand Veil","","Sand Rush",300,"big weak"
"38",27,"Alolan Sandshrew",1,"Normal","Ice","Steel","Snow Cloak","","Slush Rush",300,"big weak"
"39",28,"Sandslash",1,"Normal","Ground","","Sand Veil","","Sand Rush",450,"health tanks"
"40",28,"Alolan Sandslash",1,"Normal","Ice","Steel","Snow Cloak","","Slush Rush",450,"defensive specialists"
"41",29,"Nidoran♀",1,"Normal","Poison","","Poison Point","Rivalry","Hustle",275,"small weak"
"42",30,"Nidorina",1,"Normal","Poison","","Poison Point","Rivalry","Hustle",365,"big weak"
"43",31,"Nidoqueen",1,"Normal","Poison","Ground","Poison Point","Rivalry","Sheer Force",505,"health tanks"
"44",32,"Nidoran♂",1,"Normal","Poison","","Poison Point","Rivalry","Hustle",273,"small weak"
"45",33,"Nidorino",1,"Normal","Poison","","Poison Point","Rivalry","Hustle",365,"big weak"
"46",34,"Nidoking",1,"Normal","Poison","Ground","Poison Point","Rivalry","Sheer Force",505,"fast attackers"
"47",35,"Clefairy",1,"Normal","Fairy","","Cute Charm","Magic Guard","Friend Guard",323,"big weak"
"48",36,"Clefable",1,"Normal","Fairy","","Cute Charm","Magic Guard","Unaware",483,"health tanks"
"49",37,"Vulpix",1,"Normal","Fire","","Flash Fire","","Drought",299,"small weak"
"50",37,"Alolan Vulpix",1,"Normal","Ice","","Snow Cloak","","Snow Warning",299,"small weak"
"51",38,"Ninetales",1,"Normal","Fire","","Flash Fire","","Drought",505,"fast attackers"
"52",38,"Alolan Ninetales",1,"Normal","Ice","Fairy","Snow Cloak","","Snow Warning",505,"fast attackers"
"53",39,"Jigglypuff",1,"Normal","Normal","Fairy","Cute Charm","Competitive","Friend Guard",270,"big weak"
"54",40,"Wigglytuff",1,"Normal","Normal","Fairy","Cute Charm","Competitive","Frisk",435,"health tanks"
"55",41,"Zubat",1,"Normal","Poison","Flying","Inner Focus","","Infiltrator",245,"small weak"
"56",42,"Golbat",1,"Normal","Poison","Flying","Inner Focus","","Infiltrator",455,"fast attackers"
"57",43,"Oddish",1,"Normal","Grass","Poison","Chlorophyll","","Run Away",320,"big weak"
"58",44,"Gloom",1,"Normal","Grass","Poison","Chlorophyll","","Stench",395,"big weak"
"59",45,"Vileplume",1,"Normal","Grass","Poison","Chlorophyll","","Effect Spore",490,"defensive specialists"
"60",46,"Paras",1,"Normal","Bug","Grass","Effect Spore","Dry Skin","Damp",285,"big weak"
"61",47,"Parasect",1,"Normal","Bug","Grass","Effect Spore","Dry Skin","Damp",405,"big weak"
"62",48,"Venonat",1,"Normal","Bug","Poison","Compound Eyes","Tinted Lens","Run Away",305,"big weak"
"63",49,"Venomoth",1,"Normal","Bug","Poison","Shield Dust","Tinted Lens","Wonder Skin",450,"fast attackers"
"64",50,"Diglett",1,"Normal","Ground","","Sand Veil","Arena Trap","Sand Force",265,"small weak"
"65",50,"Alolan Diglett",1,"Normal","Ground","Steel","Sand Veil","Tangling Hair","Sand Force",265,"small weak"
"66",51,"Dugtrio",1,"Normal","Ground","","Sand Veil","Arena Trap","Sand Force",425,"fast attackers"
"67",51,"Alolan Dugtrio",1,"Normal","Ground","Steel","Sand Veil","Tangling Hair","Sand Force",425,"fast attackers"
"68",52,"Meowth",1,"Normal","Normal","","Pickup","Technician","Unnerve",290,"small weak"
"69",52,"Alolan Meowth",1,"Normal","Dark","","Pickup","Technician","Rattled",290,"small weak"
"70",52,"Galarian Meowth",1,"Normal","Steel","","Pickup","Tough Claws","Unnerve",290,"small weak"
"71",53,"Persian",1,"Normal","Normal","","Limber","Technician","Unnerve",440,"fast attackers"
"72",53,"Alolan Persian",1,"Normal","Dark","","Fur Coat","Technician","Rattled",440,"fast attackers"
"73",54,"Psyduck",1,"Normal","Water","","Damp","Cloud Nine","Swift Swim",320,"small weak"
"74",55,"Golduck",1,"Normal","Water","","Damp","Cloud Nine","Swift Swim",500,"fast attackers"
"75",56,"Mankey",1,"Normal","Fighting","","Vital Spirit","Anger Point","Defiant",305,"small weak"
"76",57,"Primeape",1,"Normal","Fighting","","Vital Spirit","Anger Point","Defiant",455,"fast attackers"
"77",58,"Growlithe",1,"Normal","Fire","","Intimidate","Flash Fire","Justified",350,"big weak"
"78",59,"Arcanine",1,"Normal","Fire","","Intimidate","Flash Fire","Justified",555,"overall strongest"
"79",60,"Poliwag",1,"Normal","Water","","Water Absorb","Damp","Swift Swim",300,"small weak"
"80",61,"Poliwhirl",1,"Normal","Water","","Water Absorb","Damp","Swift Swim",385,"big weak"
"81",62,"Poliwrath",1,"Normal","Water","Fighting","Water Absorb","Damp","Swift Swim",510,"health tanks"
"82",63,"Abra",1,"Normal","Psychic","","Synchronize","Inner Focus","Magic Guard",310,"small weak"
"83",64,"Kadabra",1,"Normal","Psychic","","Synchronize","Inner Focus","Magic Guard",400,"fast attackers"
"84",65,"Alakazam",1,"Normal","Psychic","","Synchronize","Inner Focus","Magic Guard",500,"fast attackers"
"85",65,"Mega Alakazam",1,"Normal","Psychic","","Trace","","",600,"fast attackers"
"86",66,"Machop",1,"Normal","Fighting","","Guts","No Guard","Steadfast",305,"big weak"
"87",67,"Machoke",1,"Normal","Fighting","","Guts","No Guard","Steadfast",405,"big weak"
"88",68,"Machamp",1,"Normal","Fighting","","Guts","No Guard","Steadfast",505,"health tanks"
"89",69,"Bellsprout",1,"Normal","Grass","Poison","Chlorophyll","","Gluttony",300,"small weak"
"90",70,"Weepinbell",1,"Normal","Grass","Poison","Chlorophyll","","Gluttony",390,"big weak"
"91",71,"Victreebel",1,"Normal","Grass","Poison","Chlorophyll","","Gluttony",490,"fast attackers"
"92",72,"Tentacool",1,"Normal","Water","Poison","Clear Body","Liquid Ooze","Rain Dish",335,"small weak"
"93",73,"Tentacruel",1,"Normal","Water","Poison","Clear Body","Liquid Ooze","Rain Dish",515,"fast attackers"
"94",74,"Geodude",1,"Normal","Rock","Ground","Rock Head","Sturdy","Sand Veil",300,"big weak"
"95",74,"Alolan Geodude",1,"Normal","Rock","Electric","Magnet Pull","Sturdy","Galvanize",300,"big weak"
"96",75,"Graveler",1,"Normal","Rock","Ground","Rock Head","Sturdy","Sand Veil",390,"big weak"
"97",75,"Alolan Graveler",1,"Normal","Rock","Electric","Magnet Pull","Sturdy","Galvanize",390,"big weak"
"98",76,"Golem",1,"Normal","Rock","Ground","Rock Head","Sturdy","Sand Veil",495,"defensive specialists"
"99",76,"Alolan Golem",1,"Normal","Rock","Electric","Magnet Pull","Sturdy","Galvanize",495,"defensive specialists"
"100",77,"Ponyta",1,"Normal","Fire","","Run Away","Flash Fire","Flame Body",410,"fast attackers"
"101",77,"Galarian Ponyta",1,"Normal","Psychic","","Run Away","Pastel Veil","Anticipation",410,"fast attackers"
"102",78,"Rapidash",1,"Normal","Fire","","Run Away","Flash Fire","Flame Body",500,"fast attackers"
"103",78,"Galarian Rapidash",1,"Normal","Psychic","Fairy","Run Away","Pastel Veil","Anticipation",500,"fast attackers"
"104",79,"Slowpoke",1,"Normal","Water","Psychic","Oblivious","Own Tempo","Regenerator",315,"big weak"
"105",80,"Slowbro",1,"Normal","Water","Psychic","Oblivious","Own Tempo","Regenerator",490,"defensive specialists"
"106",80,"Mega Slowbro",1,"Normal","Water","Psychic","Shell Armor","","",590,"defensive specialists"
"107",81,"Magnemite",1,"Normal","Electric","Steel","Magnet Pull","Sturdy","Analytic",325,"small weak"
"108",82,"Magneton",1,"Normal","Electric","Steel","Magnet Pull","Sturdy","Analytic",465,"fast attackers"
"109",83,"Farfetch'd",1,"Normal","Normal","Flying","Keen Eye","Inner Focus","Defiant",377,"big weak"
"110",83,"Galarian Farfetch'd",1,"Normal","Fighting","","Steadfast","","Scrappy",377,"big weak"
"111",84,"Doduo",1,"Normal","Normal","Flying","Run Away","Early Bird","Tangled Feet",310,"small weak"
"112",85,"Dodrio",1,"Normal","Normal","Flying","Run Away","Early Bird","Tangled Feet",470,"fast attackers"
"113",86,"Seel",1,"Normal","Water","","Thick Fat","Hydration","Ice Body",325,"big weak"
"114",87,"Dewgong",1,"Normal","Water","Ice","Thick Fat","Hydration","Ice Body",475,"health tanks"
"115",88,"Grimer",1,"Normal","Poison","","Stench","Sticky Hold","Poison Touch",325,"big weak"
"116",88,"Alolan Grimer",1,"Normal","Poison","Dark","Poison Touch","Gluttony","Power of Alchemy",325,"big weak"
"117",89,"Muk",1,"Normal","Poison","","Stench","Sticky Hold","Poison Touch",500,"health tanks"
"118",89,"Alolan Muk",1,"Normal","Poison","Dark","Poison Touch","Gluttony","Power of Alchemy",500,"health tanks"
"119",90,"Shellder",1,"Normal","Water","","Shell Armor","Skill Link","Overcoat",305,"big weak"
"120",91,"Cloyster",1,"Normal","Water","Ice","Shell Armor","Skill Link","Overcoat",525,"defensive specialists"
"121",92,"Gastly",1,"Normal","Ghost","Poison","Levitate","","",310,"small weak"
"122",93,"Haunter",1,"Normal","Ghost","Poison","Levitate","","",405,"fast attackers"
"123",94,"Gengar",1,"Normal","Ghost","Poison","Cursed Body","","",500,"fast attackers"
"124",94,"Mega Gengar",1,"Normal","Ghost","Poison","Shadow Tag","","",600,"overall strongest"
"125",95,"Onix",1,"Normal","Rock","Ground","Rock Head","Sturdy","Weak Armor",385,"defensive specialists"
"126",96,"Drowzee",1,"Normal","Psychic","","Insomnia","Forewarn","Inner Focus",328,"big weak"
"127",97,"Hypno",1,"Normal","Psychic","","Insomnia","Forewarn","Inner Focus",483,"health tanks"
"128",98,"Krabby",1,"Normal","Water","","Hyper Cutter","Shell Armor","Sheer Force",325,"big weak"
"129",99,"Kingler",1,"Normal","Water","","Hyper Cutter","Shell Armor","Sheer Force",475,"defensive specialists"
"130",100,"Voltorb",1,"Normal","Electric","","Soundproof","Static","Aftermath",330,"small weak"
"131",101,"Electrode",1,"Normal","Electric","","Soundproof","Static","Aftermath",490,"fast attackers"
"132",102,"Exeggcute",1,"Normal","Grass","Psychic","Chlorophyll","","Harvest",325,"big weak"
"133",103,"Exeggutor",1,"Normal","Grass","Psychic","Chlorophyll","","Harvest",530,"health tanks"
"134",103,"Alolan Exeggutor",1,"Normal","Grass","Dragon","Frisk","","Harvest",530,"health tanks"
"135",104,"Cubone",1,"Normal","Ground","","Rock Head","Lightning Rod","Battle Armor",320,"big weak"
"136",105,"Marowak",1,"Normal","Ground","","Rock Head","Lightning Rod","Battle Armor",425,"defensive specialists"
"137",105,"Alolan Marowak",1,"Normal","Fire","Ghost","Cursed Body","Lightning Rod","Rock Head",425,"defensive specialists"
"138",106,"Hitmonlee",1,"Normal","Fighting","","Limber","Reckless","Unburden",455,"fast attackers"
"139",107,"Hitmonchan",1,"Normal","Fighting","","Keen Eye","Iron Fist","Inner Focus",455,"defensive specialists"
"140",108,"Lickitung",1,"Normal","Normal","","Own Tempo","Oblivious","Cloud Nine",385,"big weak"
"141",109,"Koffing",1,"Normal","Poison","","Levitate","Neutralizing Gas","Stench",340,"big weak"
"142",110,"Weezing",1,"Normal","Poison","","Levitate","Neutralizing Gas","Stench",490,"defensive specialists"
"143",110,"Galarian Weezing",1,"Normal","Poison","Fairy","Levitate","Neutralizing Gas","Misty Surge",490,"defensive specialists"
"144",111,"Rhyhorn",1,"Normal","Ground","Rock","Lightning Rod","Rock Head","Reckless",345,"big weak"
"145",112,"Rhydon",1,"Normal","Ground","Rock","Lightning Rod","Rock Head","Reckless",485,"health tanks"
"146",113,"Chansey",1,"Normal","Normal","","Natural Cure","Serene Grace","Healer",450,"health tanks"
"147",114,"Tangela",1,"Normal","Grass","","Chlorophyll","Leaf Guard","Regenerator",435,"defensive specialists"
"148",115,"Kangaskhan",1,"Normal","Normal","","Early Bird","Scrappy","Inner Focus",490,"health tanks"
"149",115,"Mega Kangaskhan",1,"Normal","Normal","","Parental Bond","","",590,"health tanks"
"150",116,"Horsea",1,"Normal","Water","","Swift Swim","Sniper","Damp",295,"small weak"
"151",117,"Seadra",1,"Normal","Water","","Poison Point","Sniper","Damp",440,"fast attackers"
"152",118,"Goldeen",1,"Normal","Water","","Swift Swim","Water Veil","Lightning Rod",320,"small weak"
"153",119,"Seaking",1,"Normal","Water","","Swift Swim","Water Veil","Lightning Rod",450,"health tanks"
"154",120,"Staryu",1,"Normal","Water","","Illuminate","Natural Cure","Analytic",340,"small weak"
"155",121,"Starmie",1,"Normal","Water","Psychic","Illuminate","Natural Cure","Analytic",520,"fast attackers"
"156",122,"Mr. Mime",1,"Normal","Psychic","Fairy","Soundproof","Filter","Technician",460,"fast attackers"
"157",122,"Galarian Mr. Mime",1,"Normal","Psychic","Ice","Vital Spirit","Screen Cleaner","Ice Body",460,"fast attackers"
"158",123,"Scyther",1,"Normal","Bug","Flying","Swarm","Technician","Steadfast",500,"fast attackers"
"159",124,"Jynx",1,"Normal","Ice","Psychic","Oblivious","Forewarn","Dry Skin",455,"fast attackers"
"160",125,"Electabuzz",1,"Normal","Electric","","Static","","Vital Spirit",490,"fast attackers"
"161",126,"Magmar",1,"Normal","Fire","","Flame Body","","Vital Spirit",495,"fast attackers"
"162",127,"Pinsir",1,"Normal","Bug","","Hyper Cutter","Mold Breaker","Moxie",500,"fast attackers"
"163",127,"Mega Pinsir",1,"Normal","Bug","Flying","Aerilate","","",600,"overall strongest"
"164",128,"Tauros",1,"Normal","Normal","","Intimidate","Anger Point","Sheer Force",490,"fast attackers"
"165",129,"Magikarp",1,"Normal","Water","","Swift Swim","","Rattled",200,"small weak"
"166",130,"Gyarados",1,"Normal","Water","Flying","Intimidate","","Moxie",540,"health tanks"
"167",130,"Mega Gyarados",1,"Normal","Water","Dark","Mold Breaker","","",640,"overall strongest"
"168",131,"Lapras",1,"Normal","Water","Ice","Water Absorb","Shell Armor","Hydration",535,"health tanks"
"169",132,"Ditto",1,"Normal","Normal","","Limber","","Imposter",288,"small weak"
"170",133,"Eevee",1,"Normal","Normal","","Run Away","Adaptability","Anticipation",325,"big weak"
"171",133,"Partner Eevee",1,"Normal","Normal","","","","Anticipation",435,"fast attackers"
"172",134,"Vaporeon",1,"Normal","Water","","Water Absorb","","Hydration",525,"health tanks"
"173",135,"Jolteon",1,"Normal","Electric","","Volt Absorb","","Quick Feet",525,"fast attackers"
"174",136,"Flareon",1,"Normal","Fire","","Flash Fire","","Guts",525,"overall strongest"
"175",137,"Porygon",1,"Normal","Normal","","Trace","Download","Analytic",395,"big weak"
"176",138,"Omanyte",1,"Normal","Rock","Water","Swift Swim","Shell Armor","Weak Armor",355,"big weak"
"177",139,"Omastar",1,"Normal","Rock","Water","Swift Swim","Shell Armor","Weak Armor",495,"defensive specialists"
"178",140,"Kabuto",1,"Normal","Rock","Water","Swift Swim","Battle Armor","Weak Armor",355,"big weak"
"179",141,"Kabutops",1,"Normal","Rock","Water","Swift Swim","Battle Armor","Weak Armor",495,"defensive specialists"
"180",142,"Aerodactyl",1,"Normal","Rock","Flying","Rock Head","Pressure","Unnerve",515,"fast attackers"
"181",142,"Mega Aerodactyl",1,"Normal","Rock","Flying","Tough Claws","","",615,"fast attackers"
"182",143,"Snorlax",1,"Normal","Normal","","Immunity","Thick Fat","Gluttony",540,"health tanks"
"183",144,"Articuno",1,"Sub Legendary","Ice","Flying","Pressure","","Snow Cloak",580,"overall strongest"
"184",145,"Zapdos",1,"Sub Legendary","Electric","Flying","Pressure","","Static",580,"overall strongest"
"185",146,"Moltres",1,"Sub Legendary","Fire","Flying","Pressure","","Flame Body",580,"overall strongest"
"186",147,"Dratini",1,"Normal","Dragon","","Shed Skin","","Marvel Scale",300,"small weak"
"187",148,"Dragonair",1,"Normal","Dragon","","Shed Skin","","Marvel Scale",420,"big weak"
"188",149,"Dragonite",1,"Normal","Dragon","Flying","Inner Focus","","Multiscale",600,"overall strongest"
"189",150,"Mewtwo",1,"Legendary","Psychic","","Pressure","","Unnerve",680,"overall strongest"
"190",150,"Mega Mewtwo X",1,"Legendary","Psychic","Fighting","Steadfast","","",780,"overall strongest"
"191",150,"Mega Mewtwo Y",1,"Legendary","Psychic","","Insomnia","","",780,"overall strongest"
"192",151,"Mew",1,"Mythical","Psychic","","Synchronize","","",600,"overall strongest"
"193",152,"Chikorita",2,"Normal","Grass","","Overgrow","","Leaf Guard",318,"big weak"
"194",153,"Bayleef",2,"Normal","Grass","","Overgrow","","Leaf Guard",405,"big weak"
"195",154,"Meganium",2,"Normal","Grass","","Overgrow","","Leaf Guard",525,"defensive specialists"
"196",155,"Cyndaquil",2,"Normal","Fire","","Blaze","","Flash Fire",309,"small weak"
"197",156,"Quilava",2,"Normal","Fire","","Blaze","","Flash Fire",405,"big weak"
"198",157,"Typhlosion",2,"Normal","Fire","","Blaze","","Flash Fire",534,"fast attackers"
"199",158,"Totodile",2,"Normal","Water","","Torrent","","Sheer Force",314,"big weak"
"200",159,"Croconaw",2,"Normal","Water","","Torrent","","Sheer Force",405,"big weak"
"201",160,"Feraligatr",2,"Normal","Water","","Torrent","","Sheer Force",530,"health tanks"
"202",161,"Sentret",2,"Normal","Normal","","Run Away","Keen Eye","Frisk",215,"small weak"
"203",162,"Furret",2,"Normal","Normal","","Run Away","Keen Eye","Frisk",415,"big weak"
"204",163,"Hoothoot",2,"Normal","Normal","Flying","Insomnia","Keen Eye","Tinted Lens",262,"small weak"
"205",164,"Noctowl",2,"Normal","Normal","Flying","Insomnia","Keen Eye","Tinted Lens",452,"health tanks"
"206",165,"Ledyba",2,"Normal","Bug","Flying","Swarm","Early Bird","Rattled",265,"small weak"
"207",166,"Ledian",2,"Normal","Bug","Flying","Swarm","Early Bird","Iron Fist",390,"big weak"
"208",167,"Spinarak",2,"Normal","Bug","Poison","Swarm","Insomnia","Sniper",250,"small weak"
"209",168,"Ariados",2,"Normal","Bug","Poison","Swarm","Insomnia","Sniper",400,"big weak"
"210",169,"Crobat",2,"Normal","Poison","Flying","Inner Focus","","Infiltrator",535,"fast attackers"
"211",170,"Chinchou",2,"Normal","Water","Electric","Volt Absorb","Illuminate","Water Absorb",330,"small weak"
"212",171,"Lanturn",2,"Normal","Water","Electric","Volt Absorb","Illuminate","Water Absorb",460,"health tanks"
"213",172,"Pichu",2,"Normal","Electric","","Static","","Lightning Rod",205,"small weak"
"214",173,"Cleffa",2,"Normal","Fairy","","Cute Charm","Magic Guard","Friend Guard",218,"small weak"
"215",174,"Igglybuff",2,"Normal","Normal","Fairy","Cute Charm","Competitive","Friend Guard",210,"small weak"
"216",175,"Togepi",2,"Normal","Fairy","","Hustle","Serene Grace","Super Luck",245,"small weak"
"217",176,"Togetic",2,"Normal","Fairy","Flying","Hustle","Serene Grace","Super Luck",405,"defensive specialists"
"218",177,"Natu",2,"Normal","Psychic","Flying","Synchronize","Early Bird","Magic Bounce",320,"small weak"
"219",178,"Xatu",2,"Normal","Psychic","Flying","Synchronize","Early Bird","Magic Bounce",470,"fast attackers"
"220",179,"Mareep",2,"Normal","Electric","","Static","","Plus",280,"small weak"
"221",180,"Flaaffy",2,"Normal","Electric","","Static","","Plus",365,"big weak"
"222",181,"Ampharos",2,"Normal","Electric","","Static","","Plus",510,"health tanks"
"223",181,"Mega Ampharos",2,"Normal","Electric","Dragon","Mold Breaker","","",610,"overall strongest"
"224",182,"Bellossom",2,"Normal","Grass","","Chlorophyll","","Healer",490,"defensive specialists"
"225",183,"Marill",2,"Normal","Water","Fairy","Thick Fat","Huge Power","Sap Sipper",250,"small weak"
"226",184,"Azumarill",2,"Normal","Water","Fairy","Thick Fat","Huge Power","Sap Sipper",420,"health tanks"
"227",185,"Sudowoodo",2,"Normal","Rock","","Sturdy","Rock Head","Rattled",410,"big weak"
"228",186,"Politoed",2,"Normal","Water","","Water Absorb","Damp","Drizzle",500,"health tanks"
"229",187,"Hoppip",2,"Normal","Grass","Flying","Chlorophyll","Leaf Guard","Infiltrator",250,"small weak"
"230",188,"Skiploom",2,"Normal","Grass","Flying","Chlorophyll","Leaf Guard","Infiltrator",340,"small weak"
"231",189,"Jumpluff",2,"Normal","Grass","Flying","Chlorophyll","Leaf Guard","Infiltrator",460,"fast attackers"
"232",190,"Aipom",2,"Normal","Normal","","Run Away","Pickup","Skill Link",360,"big weak"
"233",191,"Sunkern",2,"Normal","Grass","","Chlorophyll","Solar Power","Early Bird",180,"small weak"
"234",192,"Sunflora",2,"Normal","Grass","","Chlorophyll","Solar Power","Early Bird",425,"health tanks"
"235",193,"Yanma",2,"Normal","Bug","Flying","Speed Boost","Compound Eyes","Frisk",390,"fast attackers"
"236",194,"Wooper",2,"Normal","Water","Ground","Damp","Water Absorb","Unaware",210,"small weak"
"237",195,"Quagsire",2,"Normal","Water","Ground","Damp","Water Absorb","Unaware",430,"health tanks"
"238",196,"Espeon",2,"Normal","Psychic","","Synchronize","","Magic Bounce",525,"fast attackers"
"239",197,"Umbreon",2,"Normal","Dark","","Synchronize","","Inner Focus",525,"defensive specialists"
"240",198,"Murkrow",2,"Normal","Dark","Flying","Insomnia","Super Luck","Prankster",405,"fast attackers"
"241",199,"Slowking",2,"Normal","Water","Psychic","Oblivious","Own Tempo","Regenerator",490,"health tanks"
"242",200,"Misdreavus",2,"Normal","Ghost","","Levitate","","",435,"fast attackers"
"243",201,"Unown",2,"Normal","Psychic","","Levitate","","",336,"big weak"
"244",202,"Wobbuffet",2,"Normal","Psychic","","Shadow Tag","","Telepathy",405,"health tanks"
"245",203,"Girafarig",2,"Normal","Normal","Psychic","Inner Focus","Early Bird","Sap Sipper",455,"fast attackers"
"246",204,"Pineco",2,"Normal","Bug","","Sturdy","","Overcoat",290,"big weak"
"247",205,"Forretress",2,"Normal","Bug","Steel","Sturdy","","Overcoat",465,"defensive specialists"
"248",206,"Dunsparce",2,"Normal","Normal","","Serene Grace","Run Away","Rattled",415,"health tanks"
"249",207,"Gligar",2,"Normal","Ground","Flying","Hyper Cutter","Sand Veil","Immunity",430,"big weak"
"250",208,"Steelix",2,"Normal","Steel","Ground","Rock Head","Sturdy","Sheer Force",510,"defensive specialists"
"251",208,"Mega Steelix",2,"Normal","Steel","Ground","Sand Force","","",610,"defensive specialists"
"252",209,"Snubbull",2,"Normal","Fairy","","Intimidate","Run Away","Rattled",300,"big weak"
"253",210,"Granbull",2,"Normal","Fairy","","Intimidate","Quick Feet","Rattled",450,"health tanks"
"254",211,"Qwilfish",2,"Normal","Water","Poison","Poison Point","Swift Swim","Intimidate",440,"fast attackers"
"255",212,"Scizor",2,"Normal","Bug","Steel","Swarm","Technician","Light Metal",500,"health tanks"
"256",212,"Mega Scizor",2,"Normal","Bug","Steel","Technician","","",600,"defensive specialists"
"257",213,"Shuckle",2,"Normal","Bug","Rock","Sturdy","Gluttony","Contrary",505,"defensive specialists"
"258",214,"Heracross",2,"Normal","Bug","Fighting","Swarm","Guts","Moxie",500,"health tanks"
"259",214,"Mega Heracross",2,"Normal","Bug","Fighting","Skill Link","","",600,"health tanks"
"260",215,"Sneasel",2,"Normal","Dark","Ice","Inner Focus","Keen Eye","Pickpocket",430,"fast attackers"
"261",216,"Teddiursa",2,"Normal","Normal","","Pickup","Quick Feet","Honey Gather",330,"big weak"
"262",217,"Ursaring",2,"Normal","Normal","","Guts","Quick Feet","Unnerve",500,"health tanks"
"263",218,"Slugma",2,"Normal","Fire","","Magma Armor","Flame Body","Weak Armor",250,"small weak"
"264",219,"Magcargo",2,"Normal","Fire","Rock","Magma Armor","Flame Body","Weak Armor",430,"defensive specialists"
"265",220,"Swinub",2,"Normal","Ice","Ground","Oblivious","Snow Cloak","Thick Fat",250,"small weak"
"266",221,"Piloswine",2,"Normal","Ice","Ground","Oblivious","Snow Cloak","Thick Fat",450,"health tanks"
"267",222,"Corsola",2,"Normal","Water","Rock","Hustle","Natural Cure","Regenerator",410,"defensive specialists"
"268",222,"Galarian Corsola",2,"Normal","Ghost","","Weak Armor","","Cursed Body",410,"defensive specialists"
"269",223,"Remoraid",2,"Normal","Water","","Hustle","Sniper","Moody",300,"small weak"
"270",224,"Octillery",2,"Normal","Water","","Suction Cups","Sniper","Moody",480,"health tanks"
